name,address,latitude,longitude,phone,overview,Total Sites,Overnight Sites,Seasonal Sites,Maximum Amperage,Electrical / Water / Sewer,Electrical / Water,Electrical,No Services,Min / Max (Daily),Max length (of RV),activities,Accessible facilities,Credit/debit cards,Dumping (station or mobile),Group camping,Internet (WiFi at site),Laundromat,Pet-friendly,Planned activities/events,Playground,Pull-thru sites,Rec hall/games room,Restaurant/snack bar,Store,Swimming (outdoor pool),Toilets/showers (comfort station),"Boating (marina, boat launch, or docks)",Cable TV (at site),Controlled access,Hot tub,Internet (hot spot),Propane,Swimming (indoor pool),"Swimming (lake, river, or beach)",Toilets (pit/outhouse)
Great Canadian Hideaway,"32910 Centre Rd, RR 4, Parkhill, Ontario, N0M 2K0",43.15842,-81.65957,519-294-6333,"Visit our 250-acre family-style campground: it’s immaculate, safe and fun! There is plenty of space for young and old alike to roam and explore on bike, on foot or by canoe. Sites are shaded, 35 feet x 75 feet and easily able to accommodate a small tent or a large RV, mature trees on all. We have both serviced and unserviced sites to satisfy all types of campers. Come swim in our heated, guarded pool or take a dip in our 200-acre lake, great for fishing, canoeing and paddleboating. Drop by our concession booth for an order of hot, salty french fries, and don’t forget to save a couple for our 4-legged campers at the petting corner. Join us throughout the summer months for family entertainment like our Haunted Weekend, Annual Fishing Derby and the Candlelight Walk. Weekday fun includes daily crafts and “Fishing with Eric.” Consider us in the fall when the nights are dark, the fire is hot and the foliage is spectacular. Come for the day, the night or the season. Taking reservations March",147,75,72,30,2,124,0,21,$39 / $48,50 ft,"Activities In or Around the Campground:Basketball, Boat rental (non-motorized), Dances, Fishing, Theatre (live), Vehicle racing, Volleyball, Walking/hiking trails",0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1
Green Acre Park,"580 Beaver Creek Rd, Waterloo, Ontario, N2J 3Z4",43.48542,-80.58981,519-885-1758,Green Acre Park is an RV park offering modern services and activities to serve the RV industry. Rated in the top 4% of campgrounds in North America by Woodall's publications. Within 5 km of the village of St Jacobs.,347,93,254,50,314,33,0,0,$40 / $60,44 ft,"Activities In or Around the Campground:Badminton, Farmers' market/stands, Fishing, Golf (mini), Movies, Pedal carts, Table tennis, Volleyball",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0
Green Acres Campground & RV Park,"RR 1, 2310 Conc 12 Huron Kinloss, Kincardine, Ontario, N2Z 2X3",44.14266,-81.65084,519-395-2808,"Big-rig-friendly, 3 km south of Kincardine, beside golf course and close to beautiful Lake Huron beaches. Quiet family camping, clean washrooms, quiet hours start at 11 pm. Large secluded and open back-in and pull-thru sites. Heated saltwater pool, playground. Walking/biking trails, dog park, volleyball, basketball, almost everything. Free WiFi to every site.",196,55,141,30,177,16,0,3,$41 / $47,45 ft,"Activities In or Around the Campground:Basketball, Horseshoes, Shuffleboard, Volleyball, Walking/hiking trails",0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Gulliver's Lake RV Resort,"792 Safari Rd, Millgrove, Ontario, L8B 1S8",43.36221,-80.02192,905-659-7300,"Welcome to Gulliver’s Lake Park, a seasonal vacation park in peaceful wooded surroundings.  For over 50 years, Gulliver’s Lake Park has been a friendly, well-maintained family escape that brings guests back year after year. We welcome you to a true natural wonder: our 14-acre lake, spring-fed by artesian wells, where scuba-diving enthusiasts from all around come to enjoy our waters. We also offer organized events, swimming and areas to host your next family or company picnic. Be sure to check our website for a full description of park amenities.",199,0,199,30,199,0,0,0,$ / $,45 ft,"Activities In or Around the Campground:Casino, Day use, Golf, Horse racing, Swimming (lake, river)",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
Gullwing Lake Park,"1025 Gullwing Lake Rd, Torrance, Ontario, P0C 1M0",44.98174,-79.54393,705-762-3737,"Welcome to Gullwing Lake Park, a seasonal vacation park in the heart of Muskoka cottage country. Enjoy the quiet peace of Ontario on the shores of beautiful Gullwing Lake. Whether you’re partial to fishing and boating, playing horseshoes or just watching the sunset with family and friends, Gullwing Lake Park has something for everyone. We also offer plenty of organized events for children and adults alike, including beach parties, fishing derbies and dances. Be sure to check our website for a full description of park amenities.",102,11,91,30,88,0,0,14,$34 / $50,40 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Day use, Fishing, Horseshoes, Motorboats allowed, Volleyball, Walking/hiking trails",0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
Happy Hollow Campground Inc. & RV sales,"70 Drury Lane, Goderich, Ontario, N7A 3X9",43.8776,-81.71571,519-529-7632,"Happy Hollow Campground Inc. in Ashfield-Colborne-Wawanosh, Ontario is a safe and activity-filled RV park that offers tent sites, trailer sites and rentals. Our campground is complete with facilities to allow families and groups to fully enjoy various recreational activities. For more than 40 years in business, our commitment is to provide travelers and campers with comfortable, secured, and affordable camping experience. We also offer travel packages. Happy Hollow Campground Authorized RV Dealer. Whether you need repairs or maintenance, or you're looking to customize your RV, Happy Hollow Campground is proud to carry a wide selection of parts and accessories so you can maintain your vehicle and make it your own. If we don't have it in stock, we're happy to order it for you.",110,10,100,30,105,0,0,5,$40.00 / $55.00,40 ft,"Activities In or Around the Campground:Badminton, Basketball, Fishing, Horseshoes, Swimming (lake, river), Table tennis, Volleyball",0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
Harbour Side Family Trailer Park,"7477/7487 Riverside Dr, Port Franks, Ontario, N0M 2L0",43.23196,-81.89834,519-243-2461,"Our well-established, family-oriented trailer park (seasonal only) is within walking distance to a sandy beach with spectacular sunsets. We offer planned activities for all ages, a large playground and a saltwater pool. Location: 15 minutes south of Grand Bend. Just past the interchange off Hwy 21 and Hwy 7.",170,0,170,30,170,0,0,0,$ / $,38 ft,"Activities In or Around the Campground:Basketball, Cycling, Dances, Golf, Horseshoes, Shopping, Shuffleboard, Walking/hiking trails",1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
Hidden Valley RV Resort,"61 Mole Side Road, Normandale, Ontario, N0E 1W0",42.71027,-80.32661,519-426-5666,"Welcome to Hidden Valley Park, a seasonal vacation park near the scenic shores of Lake Erie. Enjoy the quiet peace of southern Ontario’s wilderness by the shores of Lake Erie at Hidden Valley Park. We offer plenty of organized events for children and adults, as well as a swimming pool, 2 playgrounds, a games room and lots of sports, including a basketball court and horseshoe pits. Be sure to check our website for a full description of park amenities.",246,37,209,30,209,27,0,10,$42 / $59,40 ft,"Activities In or Around the Campground:Basketball, Fitness, Horseshoes, Pedal carts, Shuffleboard, Wildlife viewing/birding, Ziplining",1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Highland Pines Campground & RV Sales,"8523 Wellington Rd 19, Belwood, Ontario, N0B 1J0",43.77791,-80.33759,519-843-2537,"The fun begins at Highland Pines, a highly sought-after vacation destination on beautiful Lake Belwood. Call to book your relaxing holiday excursion for a weekend. We have fully-serviced large trailer sites, 30- and 50-amp, 8 cabins in the forest with a lake view setting. We also have 5 cottages with kitchen/living room, bathroom, queen bed, pull-out couch & bunks. We have beautiful fully-serviced seasonal sites, 30- and 50-amp for those who want a home away from home. All sites with fire pit and picnic table. 200 acres of wooded parkland with all the best amenities, trails, 3 heated outdoor pools, 2 splash pads, castle and pirate ship playgrounds, basketball, beach volleyball, baseball, horseshoes, shuffleboard, recreation buildings and library with a WiFi hotspot. Lake has a sandy beach, boating & fishing. Don't miss out on our huge new phase 3 50-amp sites with a shed base on 50 acres of beautiful wooded parkland. Sites are overlooking a magnificent 5-acre pond. Airsoft games field.",730,127,603,50,649,58,0,23,$65 / $85,45 ft,"Activities In or Around the Campground:Basketball, Dances, Fishing, Motorboats allowed, Mountain biking, Shuffleboard, Volleyball, Water park",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
Holiday Park,"552 High St, Southampton, Ontario, N0H 2L0",44.48856,-81.35365,519-797-2328,"Beautiful treed family resort with camping and seasonal sites, as well as rental trailers. Heated pool, kiddie pool, volleyball, jumping pillow, playground, store, recreation hall and planned activities. Only minutes from golfing, fishing, Pumpkin Fest, Lake Huron and breathtaking sunsets.",289,15,274,30,285,4,0,0,$44 / $68,30 ft,"Activities In or Around the Campground:Baseball, Dances, Fishing, Golf, Tennis, Walking/hiking trails",0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0
Hope Bay Campground,"2 Hope Bay Rd, South Bruce Peninsula, Ontario, N0H 2T0",44.90349,-81.15626,519-534-1208,"Hope Bay Campground is committed to exceeding every guest’s expectations and creating a truly memorable camping experience.Nestled on the Niagara Escarpment in South Bruce Peninsula and right on the Bruce Trail. Enjoying nature’s beauty has never been easier. Hope Bay offers the perfect spot for your summer vacations with its spacious seasonal sites and the Bruce Trail at our front door.For those wishing for adventure, Hope Bay’s overnight camping sites are perfect for those summer vacations or weekend getaways. Whether you are camping in a tent or a trailer, we have just the right site for you. Your outdoor adventure starts here.Hope Bay is located on Georgian Bay and has a beautiful shallow sandy beach that is perfect for the entire family. Launch your boat; rent a kayak, canoe or peddleboat; or just spend an afternoon on our patio  with our famous waffle ice cream cones or sundaes enjoying the view of Georgian Bay.",92,32,60,30,63,8,0,21,$40.00 / $175.00,40 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Cycling, Museum/heritage sites, Rock climbing/bouldering, Soccer, Swimming (lake, river), Walking/hiking trails, Spelunking/cave exploration",1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1
Horseshoe Lake Camp & Cottages,"55 N Sandy Plains Rd, Seguin, Ontario, P2A 2W8",45.29667,-79.8134,705-732-4928,"A lovely family campground located on Horseshoe Lake, just south of Parry Sound. We offer a range of camping, including seasonal and overnight sites, 2- to 5-bedroom cottages and tent-a-cabins. We have a beautiful sandy beach on a lake that offers 60 km of shoreline. Activities for all members of the family, including crafts, volleyball, hayrides and mini-golf. Quiet time is 11 pm to 8 am. No wood to be brought onto the property. Reservations preferred. Your hosts: Steve Hargrave and family.",184,24,160,50,40,134,0,10,$35 / $60,40 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Fishing, Golf (mini), Motorboats allowed, Swimming (lake, river), Volleyball, Walking/hiking trails",0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0
Inn on the Lake Trailer Park,"1323 North Muldrew Lake Rd, Gravenhurst, Ontario, P1P 1V5",44.90002,-79.40671,705-687-2364,"Situated on the pristine shores of North Muldrew Lake. Discover nature's sights and sounds and the distinctive smell of campfires. Offering spacious sites, docks and a sandy shoreline. Great for swimming, fishing and water activities. Discover new ways of spending leisure time at the lake. FULL SEASON ONLY. Hosts: David and Sylvie Gwilliames.",50,0,50,50,50,0,0,0,$ / $,50 ft,"Activities In or Around the Campground:Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Walking/hiking trails",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Jordan Valley Campground,"3902 21st St, Jordan, Ontario, L0R 1S0",43.15201,-79.37516,905-562-7816,"Jordan Valley Campground, Niagara’s best-kept secret for family camping. Located in the heart of Niagara’s wine country. Join us to try the local vintages & fine dining, or relax in the tranquility of our country setting. Try your hand at fishing the 20 & hiking our onsite trails. Challenge yourself to hike the waterfront trail to Ball’s Falls & the Bruce Trail. We have a site for you! Leash free dog park.Jordan Valley Campground est le secret le plus précieux de la région du Niagara pour le camping en famille. Nous sommes situés au coeur de la région vinicole du Niagara. Restez avec nous afin de jouir des crus locaux, de la cuisine gastronomique, des fruits de saison frais cueillis ou simplement vous détendre sur nos lieux paisibles situés dans une vallée pittoresque. Tentez votre chance à la pêche sur la 20 et à une randonnée sur les pistes de notre site. Relevez le défi de marcher sur le sentier qui longe la rivière jusqu’à Ball’s Falls ou le Bruce Trail. Un parc canin sans laisse.",113,76,37,30,46,10,0,57,$44 / $61,40 ft,"Activities In or Around the Campground:Cycling, Farmers' market/stands, Fishing, Golf, Theatre (live), Walking/hiking trails, Wine tours, Casino",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1
Kilsyth Country Campground,"101739 Grey Rd 5, RR 4, Owen Sound, Ontario, N4K 5N5",44.51319,-81.02992,519-371-3856,"Relax and explore. Come and camp with us. Friendly, quiet family campground. Games barn, in-ground pool, playground, volleyball court, washrooms, rec hall,  showers, planned activities, laundry, store, pet-friendly. Available activities: band nights Saturday long weekend, fireworks Victoria and Canada Day, potlucks, Sunday coffee, ladies' nights, cards night, games day, scavenger hunt, poker-run, music gems, Christmas in July, Halloween in September etc. Grey Bruce offers great fishing, Saugeen River offers fishing and tubing, Owen Sound Harbour, best beaches in Ontario, Lake Huron and Georgian Bay, 10 waterfalls, trails, June to September huge Keady market on Tuesdays, other local weekly markets, antique car and craft shows, sports events, Sauble Speedway and festivals. 10 minutes to Owen Sound, 20 minutes to Sauble Beach, 40 minutes to Collingwood, 1 hour to Tobermory, 2 hours from Brampton and 2.5 hours from GTA.",74,16,58,30,40,34,0,0,$42 / $57,45 ft,"Activities In or Around the Campground:Cycling, Fishing, Golf, Restaurants, Swimming (lake, river), Walking/hiking trails, Wildlife viewing/birding, Wine tours",1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1
Klondyke Trailer Park,"9921 Lakeshore Rd, Grand Bend, Ontario, N0M 1T0",43.27933,-81.78446,519-238-8348,"5 km S of Grand Bend on Highway 21. Family camping. 3 heated pools, Splashpad Zone, 2 playgrounds, organized activities for children and adults, variety store, snack booth, basketball court, beach volleyball court, horseshoe pits and much more! A proud member of the Linwood Parks family.",460,15,445,50,460,0,0,0,$45 / $55,,"Activities In or Around the Campground:Golf, Movies, Shopping, Swimming (lake, river), Walking/hiking trails",0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0
Knight's Hideaway Park,"1154 Gorham Rd, Ridgeway, Ontario, L0S 1N0",42.90584,-79.05781,905-894-1911,"Located in the historic village of Ridgeway, where you can enjoy country camping away from railroad and major highway noise. Just minutes from Lake Erie beaches and fishing at Crystal Beach. A short drive to Niagara Falls attractions and casinos. We have sunny or shady sites, clean and free hot showers, WiFi at your site, and RV sites have decks. You can rent a bicycle and explore the area, or relax and unwind around our heated pool. Whether tenting or RVing, you will enjoy a quiet, friendly, affordable stay. It’s worth the drive to Ridgeway. AAA/CAA. Good Sam. Explorer Club.",147,67,80,30,99,30,0,18,$29 / $44,80 ft,"Activities In or Around the Campground:Pedal carts, Vehicle racing, Wine tours, Casino, Cycling, Dances, Horse racing, Museum/heritage sites",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
Lafontaine RV Resort,"240 Lafontaine Rd E, Tiny, Ontario, L9M 0S2",44.77998,-80.01011,705-533-2961,"Welcome to Lafontaine RV Park, a seasonal vacation park amid stunning hardwood forests. Kids will love our 3 large playgrounds, as well as wagon rides and a variety of other planned activities throughout the season. With basketball, volleyball and badminton there’s no shortage of things to do. So whether it’s hiking the nearby trails, pitching horseshoes with friends or lounging by the pool, Lafontaine RV Park has something for everyone. Be sure to check our website for a full description of park amenities.",263,91,172,50,188,28,0,47,$16.00 / $59.00,40 ft,"Activities In or Around the Campground:Badminton, Basketball, Horseshoes, Movies, Pedal carts, Volleyball, Walking/hiking trails",0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Lagoon Tent & Trailer Park,"100 Lagoon Trailer Park Rd, Huntsville, Ontario, P1H 2J4",45.37408,-79.21498,416-616-3676,"Family campground on 40 acres. Full-hookup, rustic, river, 2-way and open sites. Planned activities, 2 sandy beaches with water slide and mini-golf, woods to walk, canoe rental and drop-off for over 3-hour trip on the Big East River. Lasertag. Arrowhead Park 5 minutes; Algonquin Park 30 minutes; Huntsville 5 minutes.",108,66,42,30,29,31,0,48,$40 / $46,45 ft,"Activities In or Around the Campground:Golf (mini), Swimming (lake, river), Volleyball, Walking/hiking trails, Boat rental (non-motorized)",0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1
Lake Avenue RV Resort,"37 Lake Avenue Lane, RR 1, Cherry Valley, Ontario, K0K 1P0",43.89548,-77.20114,613-476-4990,"Welcome to Lake Avenue Park, a vacation park on the shores of tranquil East Lake. With 800 feet of shoreline on beautiful East Lake, Lake Avenue Park is the perfect family getaway for boating, swimming or just relaxing on our sandy beach.Kids will love our large playground, wagon rides and variety of summer activities throughout the season. Anglers will love the great walleye fishing on East Lake, which also has plenty of bass, pike and pan fish. Lake Avenue Park features cottage rentals, trailer rentals, RV sites and seasonal sites. Be sure to check our website for a full description of park amenities.",116,8,108,30,116,0,0,0,$42 / $57,40 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Golf (mini), Golf, Fishing, Horseshoes, Motorboats allowed, Museum/heritage sites, Basketball",1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0
Lake Dore RV Resort,"130 Camelot Ln, Eganville, Ontario, K0J 1T0",45.59506,-77.13398,613-628-2615,"Beautiful Lake Dore RV Resort is within 5 minutes of Eganville, where shopping and other nearby attractions await you. We are a family-oriented campground on 50+ acres, with something to do for everyone. Relax on our sandy beaches, go boating, tubing, fishing and exploring nature. Sit by a campfire or join in the activities. We offer great fishing (pike, pickerel, large- and smallmouth bass), boat rentals, cottage rentals, kids' playground, basketball, baseball, bingo, horseshoes, washer-toss, bocce ball, wagon rides on Saturday, card and movie nights, and other planned activities. We have different theme events as well: Canada Day parade and fireworks, Halloween on Labour Day weekend and more. Our seasonal and overnight sites are spacious, grassy and offer sewer, water and hydro (30- and 50-amp). NEW wheelchair-accessible bathroom. Enjoy nearby attractions such as golf, Bonnechere Caves, whitewater rafting and kayaking. Come join the fun, and experience Ottawa Valley hospitality!",160,14,146,50,151,3,0,6,$39 / $49,40 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Fishing, Golf, Horseshoes, Movies, Shopping, Swimming (lake, river)",1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1
Lakewood Christian Campground,"4297 Lakeshore Rd, Town of Plympton Wyoming, Ontario, N0N 1J6",43.06635,-82.15284,519-899-4415,"A clean, quiet, family-owned park. Fun for all ages. A 20-minute drive to Sarnia, and only a 5-minute walk to Lake Huron. Campsites with city water, sewer hookup and electricity are available, whether it's back-up or pull-thru. Bathrooms, showers and laundry facilities onsite. We can accommodate large tenting groups with BBQs, fridge/freezers, halls etc. for rent. We also have cabins for rent onsite that sleep 4 people each! Daily activities and wagon rides keep all ages busy! We also have many activities onsite, such as volleyball, soccer, tennis, shuffleboard, life-size foosball, giant chess, a life-size pool table, playgrounds, trails, canoeing, fishing and more! Our solar-heated pools onsite also suit all ages, with a shallow end, deep end and kiddy pool for toddlers! We have a hair salon onsite for any cut or colour needs, and a chip truck for when you don't feel like cooking! Seasonal sites available from May 1 to October 15, and Passport America accepted in our off season.",292,50,242,50,287,1,0,4,$41 / $51,50 ft,"Activities In or Around the Campground:Volleyball, Tennis, Fishing, Horseshoes, Shuffleboard, Soccer, Swimming (lake, river), Walking/hiking trails",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
Lancaster Park Outdoor Resort,"20716 South Service Rd, Lancaster, Ontario, K0C 1N0",45.15145,-74.47022,613-347-3452,"With over 45 riverfront acres and an amazing 200-metre sandy beach with a beachside licenced tiki bar on the St Lawrence River, our campground is the ideal destination for families. Whether you want to “rough it” in our tenting area or have all the comforts of 50-amp electric and water hookup, we have something for everyone. In our lake swimming area, there are giant climbing water toys. We have several brand-new finger dock systems for docking your boat for the season or for a weekend. There is great fishing along the St Lawrence River and lots to see by boat. We have a full-service licenced restaurant open every weekend, and a 200-seat waterfront pub, patio and beach tiki bar. Live music bands perform at our pub every Saturday night. There are activities every weekend, such as Christmas in July, Halloween, kids' Olympics, Friday night kidz karaoke, bingo, horseshoe and shuffleboard tournaments, fishing derby etc. Come and enjoy all we have to offer!",357,57,300,50,100,237,0,20,$40 / $80,45 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Dances, Fishing, Motorboats allowed, Restaurants, Shuffleboard, Swimming (lake, river), Volleyball",0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1
Lands End Park,"59 Corey Cres, Tobermory, Ontario, N0H 2R0",45.23938,-81.68271,519-596-2523,"Come relax with us at this beautiful, clean, quiet campground situated in 70 acres of natural forest in Tobermory, at the tip of the Bruce Peninsula. Large individual campsites nestle among the trees, offering privacy for tents and RVs. Spotless modern facilities with hot showers are available.Cool off in the crystal-clear waters of Georgian Bay; snorkel or swim from our sand beach; or scuba-dive a shallow wreck nearby. We also offer overnight docking facilities and boat rentals.For a bit of gentle exercise, walk our onsite hiking trail or rent a bike and ride into town. Our pond is sure to keep the kids occupied catching frogs or tadpoles and feeding the ducks, with their ducklings in tow.The campground caters to a family atmosphere, with strict attention to a ""quiet period"" at night. So lean back in your lawn chair on a clear, starry night, and we'll ensure the only sounds you hear are the croaking of the frogs and eerie cry of the loons out on the bay.",121,95,26,50,0,99,0,22,$36 / $57,40 ft,"Activities In or Around the Campground:Basketball, Boat rental (non-motorized), Fishing, Pedal carts, Soccer, Volleyball, Walking/hiking trails, Wildlife viewing/birding",0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0
Leisure Lake Cottage & RV Resort - Parkbridge,"510 County Rd 31, Ruthven, Ontario, N0P 2G0",42.05496,-82.67203,519-326-1255,"Leisure Lake Cottage and RV Resort, just a few minutes from Leamington, is a 100-acre property featuring many lakes sprinkled throughout the community. This picturesque resortprovides lots of fun and beautiful sights, making Leisure Lake a real stand-out vacation destination for the family!From luxury resort cottages to tent sites, Leisure Lake Resort caters to all your accommodation needs, with full seasonal/overnight voyageur sites and RV rental sites all available. Your summer campground evenings will have the perfect feel, with picnic tables and campfires included at all campsites. Partial or fully shaded coverings are also an option.Leisure Lake has great amenities onsite, with the added bonus of a small community and great hosts. With multiple pools, a splash pad, a playground and a recreation hall venue, Leisure Lake provides the features essential to having a great time with the family!",382,62,320,50,382,0,0,0,$41 / $172,40 ft,"Activities In or Around the Campground:Horseshoes, Golf (mini), Baseball, Basketball, Boat rental (non-motorized), Fishing, Soccer, Walking/hiking trails",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0
Leisure Time Park & Trailer Sales,"18478 Duffys Lane, Caledon, Ontario, L7E 3C4",43.9659,-79.88065,905-880-4921,"Family-run campground since 1967. Close to the city, but not too close. 75-foot full-service pull-thrus. Big rigs welcome. 2 camping cabins.  Wonderland best value package deals. Free WiFi hotspot. Full-service dealership. Licensed tech. Full repairs. Overnight, weekly, monthly and seasonal. Snowbirds welcome. Reservations accepted. Clean and modern facilities, including a 60-foot heated and lifeguarded saltwater pool, tennis, fishing, playgrounds, and organized activities for all ages. Man-made lake stocked with rainbow trout.  Security gate, store, firewood, laundry, propane filling, parts and service. Accessible washrooms. Free WiFi hotspot.Hosts: the Jay family.",227,40,187,30,10,212,0,5,$42 / $54,50 ft,"Activities In or Around the Campground:Amusement park, Baseball, Basketball, Fishing, Golf, Golf (mini), Walking/hiking trails, Water park",1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1
Logos Land Resort,"15906 Hwy 17, Cobden, Ontario, K0J 1K0",45.59978,-76.84434,613-646-9765,"Camper’s paradise at Logos Land Resort.As you make your camping plans this year, consider a stay with us. In addition to everything you would hope to find at better campgrounds, we have so much more. Come and see for yourself!New: Free high-speed WiFi at RV sites & cabins!3,100 feet of twin ziplines cross Astrolabe Lake twice! Travel 63 km/h and glide to a safe stop. Amazing fun.Logos Land occupies 344 rolling acres, including a championship par-71 golf course, the spectacular Oaks of Cobden. With a beautiful beach & lots of fully serviced RV campsites, we have lakeview & wilderness sites spread over our huge property. Our water park is right in the middle. The giant 390-foot waterslides are popular, and massive water trampolines are a big hit. We offer paddleboats, an 18-hole mini-golf course, canoe & kayak rentals. We have a huge splash pad, complete with a great assortment of water toys & kiddie waterslides. Our animal farm is one more special attraction for our guests.",219,169,50,50,65,85,29,40,$48 / $65,40 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Day use, Golf, Golf (mini), Swimming (lake, river), Walking/hiking trails, Water park, Ziplining",1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1
Maple Ridge Family Campground,"4510 Highway 6, Miller Lake, Ontario, N0H 1Z0",45.07573,-81.41911,519-795-7575,"Welcome to Maple Ridge Family Campground and RV Park. Located on the Bruce Peninsula, close to the shores of Lake Huron and Georgian Bay, Maple Ridge Family Campground is quiet and family-friendly, with over 80 acres of beautiful campground for your family to enjoy. Enjoy hiking, swimming, fishing and cycling, or take in one of the many local activities.Some of our nearby attractions include:- Boat tours of Flowerpot Island in Georgian Bay and Lake Huron- Scuba diving on some 20 shipwrecks off the shore of Tobermory- Hiking on the Niagara Escarpment around Lion's Head- Kayaking at Fathom Five National Marine Park- Cabot Head Lighthouse near Dyers Bay",70,58,12,30,12,22,0,36,$35 / $50,,"Activities In or Around the Campground:Restaurants, Boat rental (motorized), Boat rental (non-motorized), Boat tours (scenic), Fishing, Scuba diving, Walking/hiking trails, Horseback riding",0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0
Marmora KOA,"178 KOA Campground Rd, RR 2, Marmora, Ontario, K0K 2M0",44.48897,-77.62502,905-510-2256,"UNDER NEW OWNERSHIP. Located in a quiet setting in beautiful central Ontario, just next to the ATV trails. Indoor heated pool with hot tub and outdoor pool. Spacious sunny and shady RV sites, pull-thru, back-in and tent sites, camping cabins and RVs for rent. Great fishing nearby, mini-golf, 2 playgrounds, planned activities for kids and adults.",160,51,109,30,3,145,0,12,$34 / $62,70 ft,"Activities In or Around the Campground:ATV-friendly, Golf (mini), Horseshoes, Volleyball, Walking/hiking trails",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0
Milton Heights Campground Ltd,"8690 Tremaine Rd, Milton, Ontario, L9E 0E2",43.52269,-79.9367,905-878-6781,"Hwy 401 exit 320 at Hwy 25. North 1.5 km to 5 Sideroad, then west 2.5 km to Tremaine Rd. Left to entrance on the right. Open year-round.",202,162,40,50,116,46,0,40,$40 / $50,45 ft,"Activities In or Around the Campground:Basketball, Cycling, Horseshoes, Volleyball",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
Minakwa Lodge,"Lot 2 Conc 8, Mattagami Township, Gogama, Ontario, P0M 1W0",47.78626,-81.53538,705-894-2294,"We are a family-oriented campground located on Mattagami Lake between Timmins and Gogama. All of our sites have full-services: electricity, lake and filtered water, and septic. We offer cottage / boat & motor rentals, sandy beach with Aquapark, a boat launch, propane, premium gas, oil, groceries, confectionary, ice cream, ice, live bait, fishing/hunting licences and much more! Your furry friends are welcomed.Nous parlons aussi en français!",79,1,78,30,79,0,0,0,$ / $,45 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Fishing, Hunting, Walking/hiking trails",1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
